mes,nidos,anio,fuente
1,21,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
2,3,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
3,7,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
4,4,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
5,0,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
6,4,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
7,134,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
8,1015,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
9,1434,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
10,469,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
11,271,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
12,67,2022,Corzo-Dominguez y Romero-Berny 2025 Fig. 3A
