mes,huevos_por_nido,nidos,huevos_totales,fuente
1,93,21,1953,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B (huevos/nido) y Fig. 3A (nidos)"
2,84,3,252,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A"
3,80,7,560,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A"
4,88,4,352,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A"
5,0,0,0,"Corzo-Dominguez y Romero-Berny 2025: mayo sin nidos registrados"
6,77,4,308,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A; minimo anual"
7,92,134,12328,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A"
8,93,1015,94395,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A; total recalculado, ver nota"
9,92,1434,131928,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A"
10,88,469,41272,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A"
11,89,271,24119,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A"
12,90,67,6030,"Corzo-Dominguez y Romero-Berny 2025, Fig. 4B y Fig. 3A"
